,prim_ind_text,prim_ind_topic_id,prim_ind_probability,types_res_text,types_res_topic_id,types_res_probability,future_res_text,future_res_topic_id,future_res_probability,research_educ_text,research_educ_topic_id,research_educ_probability,how_pick_events_text,how_pick_events_topic_id,how_pick_events_probability,events_attend_recent_text,events_attend_recent_topic_id,events_attend_recent_probability,ideal_topics_text,ideal_topics_topic_id,ideal_topics_probability,ideal_attendees_text,ideal_attendees_topic_id,ideal_attendees_probability,recommendations_text,recommendations_topic_id,recommendations_probability,big_answer,persona_id,polarity,subjectivity
10,education,fintech,0.5624738524295173,"quantitative data 
qualitative data",market,0.8905784033002218,"medical (blood, vital signs)",card sort,0.5624998566690153,participated in running studies,"class, running study",0.8807545415509322,,pay,0.16666666666666669,ISOQOL,"london, user_research",0.14285714285714288,related to my research,quant/qual/data,0.7467219742716031,,"industry, team, product",0.25,"bring key opinion leader and young minds together for few days 
","speaker, industry",0.8990397633845398,"No, I was not taught how to conduct researchparticipated in running studiesn/amHealth Institute by NIH (attended in 2011)
isoqol courses : intro to PROMs and then phrama view on PROMs (attended in 2016 and 2018)
ISOQOLRetreat/workshop: < 50 attendeesSingle-track: All attendees experience the same content at the same timemadness session presenting each topic in 3-5 minutesrelated to my researchn/abring key opinion leader and young minds together for few days 
",2,-0.02,0.35
11,Government - public services,government,0.42498956465901194,"Focus groups, user interviews, surveys",ngram,0.6130394705562102,"All of the above, plus more behavioral analytics gathering",misc,0.42503394984486476,,"masters, bachelors",0.16666666666666669,"Topics, whether the person is a known expert","reputation, value",0.8323685243220794,Canux,local_meetups,0.5711867121425789,"Managing problem space vs solution evaluation research separate / ""evidence rot""",case_study,0.922047276815108,,"industry, team, product",0.25,Have some really inspirational talks as well as informational. And have books to sell! (Of course!),"speaker, industry",0.6357318210954208,"Yes, I was taught how to conduct researchn/aTopics, whether the person is a known expertProduct mgmt training with SVPG. It was an in-depth workshop where we actually worked on a project, so it was directly relevant. CanuxRetreat/workshop: < 50 attendeesSingle-track: All attendees experience the same content at the same timen/aManaging problem space vs solution evaluation research separate / ""evidence rot""n/aHave some really inspirational talks as well as informational. And have books to sell! (Of course!)",2,0.23625,0.45
12,Education,fintech,0.5624738524295173,Mixed methods,testing,0.7812125585562618,Anything we can get our hands on!,inquiry,0.5624998946369659,"PhD - lots of classes, projects, grants, etc.",degree majors,0.8602234465577749,"What is of interest at the moment. Currently on soft skill development (I call them 'power tools'), innovation management, innovation metrics.",pay,0.8805149143499577,Academy of Management stuff (boring),"urca, uxpa",0.7855985738100394,I work with 'prac-ademics' - many without PhDs and no research background. How to teach them good research methods/practices? Lots of qualitative - ethnography.,ops/ai,0.9120026323705592,Four of you a good start. Ann Jordan?  Sam Ladner? Mats Alvesson? Heather Horst? Bent Flyvbjerg?,"experience, jared spool",0.8737982963256788,DO IT.,"speaker, industry",0.2,"Yes, I was taught how to conduct researchPhD - lots of classes, projects, grants, etc.What is of interest at the moment. Currently on soft skill development (I call them 'power tools'), innovation management, innovation metrics.Getting PhD in mid-life - second career. Amazing profs. Conference on spirituality in management - fascinating people and lots of research projects came from it.Academy of Management stuff (boring)Small conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsgood by meI work with 'prac-ademics' - many without PhDs and no research background. How to teach them good research methods/practices? Lots of qualitative - ethnography.Four of you a good start. Ann Jordan?  Sam Ladner? Mats Alvesson? Heather Horst? Bent Flyvbjerg?DO IT.",2,0.43636363636363634,0.5181818181818181
13,Education,fintech,0.5624738524295173,,focus group,0.125,,"evaluative, quantitative, qualitative",0.125,,"masters, bachelors",0.16666666666666669,,pay,0.16666666666666669,,"london, user_research",0.14285714285714288,,case_study,0.25,,"industry, team, product",0.25,,"speaker, industry",0.2,I was taught some aspects of scientific research but not ux research in particularn/an/aUI21. The lunches and dinners in small groups made it easy to connect and network. I am still in contact with someone of those people five years later.n/aSmall conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timen/an/an/an/a,2,0.04583333333333334,0.37083333333333335
14,Education,fintech,0.5624738524295173,Survey,focus group,0.125,Survey and probably semantic analysis and psychophysiologic measurements.,"evaluative, quantitative, qualitative",0.5233435972712654,I have a Master Degree and a PhD degree.,"masters, bachelors",0.9071367910801797,"Where some colleagues I know are attending or recommend to attend; and whether the location is not North America/Europe/Australia, because most conferences are there and it is about time that we diversify the venues.",misc,0.9296630037823228,Conferences,ia summit,0.5707104497895266,Research ethics not as theory but as practice. Also ecological sustainability.,"new_method, mixed_method",0.8720001759910478,"Anyone that is cooperating for open access journals, multidisciplinary research, women, minorities, indigenous people, etc.","industry, team, product",0.9013436830519123,"Dont do it in North America, Europe or Australia.","good, know",0.8855524148535397,"Yes, I was taught how to conduct researchI have a Master Degree and a PhD degree.Where some colleagues I know are attending or recommend to attend; and whether the location is not North America/Europe/Australia, because most conferences are there and it is about time that we diversify the venues.The ISNA Conference in Beijing, which was big and had a great diversity of topics and speakers. Many of the founders of social network analysis were there. ConferencesSmall conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsA session to relax or bond. I would not say exactly yoga or meditation, but something quiet.Research ethics not as theory but as practice. Also ecological sustainability.Anyone that is cooperating for open access journals, multidisciplinary research, women, minorities, indigenous people, etc.Dont do it in North America, Europe or Australia.",2,0.33194444444444443,0.4305555555555555
15,Education,fintech,0.5624738524295173,VR,focus group,0.125,AR & Medical,card sort,0.5624998566690153,,"masters, bachelors",0.16666666666666669,Service,pay,0.5815185865277628,,"london, user_research",0.14285714285714288,VR/AR Applications,"new_method, mixed_method",0.6119217636909738,,"industry, team, product",0.25,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchn/aServiceA Course SIGCHI many years ago. Still use the materialsn/aSmall conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timenopeVR/AR Applicationsn/an/a",2,0.16666666666666666,0.25
16,Tertiary education,fintech,0.5624738524295173,"What do you mean by types?
Qualitative?
Working with other organisations?
Working with different stakeholders?",qual/quant,0.912461907715494,Same as what we do,"evaluative, quantitative, qualitative",0.125,"My first Master degree in Biology was very research-oriented, I even did an elective on 'how to write a scientific paper', we had to do a little experiment and report on it. I loved it! I also did scientific experiments as part of my internships and subjects. We had to read many scientific publications for the different subjects.","online, non-degree",0.965078444836621,"I'm on the steering committee of the conference series that is closest to my research area, I try to attend that one every year, there's a couple of conferences I'm interested in, but usually can't attend, because I often go to the ones I get invited to speak at (as keynote).
Living in Australia, conferences are very far away and ideally you combine it with other travel to keep costs down and to have to go through jetlag only twice. That means that each travel is about 2 or 3 weeks, and you need someone who can cover your teaching, unless it's over the Australian summer (Dec-Feb), which not many events are.","price, location",0.979532913637392,"None, never.","london, user_research",0.14285714285714288,"How to sell qualitative research to a quantitative audience ;-)
The latest on participant populations, e.g. we no longer ask for gender, age seems less relevant as well, how to describe your participant group, are there new standards emerging?
How to make sure academic research gets outside of academia?",quant/qual/data,0.9707439742278141,"Researchers from all walks of life, not just academics.
And research clients in the real world, not just funding bodies and promotion committees.","industry, team, product",0.9441388334569348,"Good luck :)

No seriously, think about who your target group is, and how to advertise. If it was too generic, I would not feel it's urgent/interesting enough to give up another conference for it (because that's probably what it would boil down to).

Maybe co-locate with existing large conferences? In my area that would be CHI (Computer-Human Interaction), you could add a day on. That would increase my chances of going, because I would not get funding to travel to a conference if I can't present a paper there, and if it isn't high impact.

You could consider going digital? But I've never attended such an event, don't know whether it would be as compelling.","speaker, industry",0.749580424330808,"Yes, I was taught how to conduct researchMy first Master degree in Biology was very research-oriented, I even did an elective on 'how to write a scientific paper', we had to do a little experiment and report on it. I loved it! I also did scientific experiments as part of my internships and subjects. We had to read many scientific publications for the different subjects.I'm on the steering committee of the conference series that is closest to my research area, I try to attend that one every year, there's a couple of conferences I'm interested in, but usually can't attend, because I often go to the ones I get invited to speak at (as keynote).
Living in Australia, conferences are very far away and ideally you combine it with other travel to keep costs down and to have to go through jetlag only twice. That means that each travel is about 2 or 3 weeks, and you need someone who can cover your teaching, unless it's over the Australian summer (Dec-Feb), which not many events are.SARMAC conference in 2003 (I think), it was a conference outside my direct field, and I learned so much, because every talk started with an introduction to a fascination new topic (to me). I attended everything I could :) Later I took my PhD students to the same conference, hoping they would have the same experience.None, never.Small conference: < 300 attendeesSingle-track: All attendees experience the same content at the same timeStudios: hands-on activities organised and facilitated by an expert, e.g. in teaching you how to use a certain data analysis tool or recording devices or survery builders (anything really)How to sell qualitative research to a quantitative audience ;-)
The latest on participant populations, e.g. we no longer ask for gender, age seems less relevant as well, how to describe your participant group, are there new standards emerging?
How to make sure academic research gets outside of academia?Researchers from all walks of life, not just academics.
And research clients in the real world, not just funding bodies and promotion committees.Good luck :)

No seriously, think about who your target group is, and how to advertise. If it was too generic, I would not feel it's urgent/interesting enough to give up another conference for it (because that's probably what it would boil down to).

Maybe co-locate with existing large conferences? In my area that would be CHI (Computer-Human Interaction), you could add a day on. That would increase my chances of going, because I would not get funding to travel to a conference if I can't present a paper there, and if it isn't high impact.

You could consider going digital? But I've never attended such an event, don't know whether it would be as compelling.",2,0.13679755630842588,0.43929183135704875
17,it's a university? academic...,software,0.7082678118126289,mostly online and lab experiments and randomized controlled trials,validation,0.7810056155759457,,"evaluative, quantitative, qualitative",0.125,,"masters, bachelors",0.16666666666666669,renomination,pay,0.16666666666666669,,"london, user_research",0.14285714285714288,,case_study,0.25,,"industry, team, product",0.25,,"speaker, industry",0.2,I taught myself during my PhDn/arenominationn/an/aSmall conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/an/an/an/a,2,0.375,0.475
18,Academic,software,0.5624998364893566,"Quantitative, surveys, questionnaire and behavioral measures, functional MRI",focus group,0.87465651542155,Additional behavioral measures,misc,0.708288350100599,"I both participated in running studies, and was also taught through my academic studies in neuroscience","class, running study",0.9402577464213264,"At my current situation, I can only attend if I can volunteer or if it is very inexpensive","price, location",0.8322319287450736,"The Meetup for desiging a roadmap for the year, and also a mentorship program which includes occasional social happy hours","toronto, strive",0.8568026666671712,"Verifying that qualitative data is backed up by quantitative, how can we make the most out of research without sacrificing too much time",quant/qual/data,0.9033512710940449,"Ideo, industry professionals, neilsen","industry, team, product",0.7960912224178204,"Provide opportunities for emerging ux researchers either as volunteers, or some advice talk or networking event. Definitely not the as the focus of the conference, but something small on the side would be very helpful to newcomers.","group, career, city",0.9420802956060247,"No, I was not taught how to conduct researchI both participated in running studies, and was also taught through my academic studies in neuroscienceAt my current situation, I can only attend if I can volunteer or if it is very inexpensiveIt was a Meetup group that went through the steps for creating a road map for the year. It was great because the activities involved forced you to interact and get to know your activity partner in a deeper way.The Meetup for desiging a roadmap for the year, and also a mentorship program which includes occasional social happy hoursSmall conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsNo, but I'm still fairly inexperienced in themVerifying that qualitative data is backed up by quantitative, how can we make the most out of research without sacrificing too much timeIdeo, industry professionals, neilsenProvide opportunities for emerging ux researchers either as volunteers, or some advice talk or networking event. Definitely not the as the focus of the conference, but something small on the side would be very helpful to newcomers.",2,0.18859649122807018,0.4337719298245614
19,education,fintech,0.5624738524295173,,focus group,0.125,,"evaluative, quantitative, qualitative",0.125,,"masters, bachelors",0.16666666666666669,,pay,0.16666666666666669,,"london, user_research",0.14285714285714288,,case_study,0.25,,"industry, team, product",0.25,,"speaker, industry",0.2,"Yes, I was taught how to conduct researchn/an/an/an/aSmall conference: < 300 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/an/an/an/a",2,0.375,0.475
20,Food and beverage,fintech,0.5624998581968284,"Mix of qualitative and quantitative, lots of online ",market,0.902740555157703,More research focused on social media,"moderate, unmoderate",0.7810164303580811,,"masters, bachelors",0.16666666666666669,Based on client participation,"reputation, value",0.7909355214118933,"QRCA, AMA, CMC",ia summit,0.5714285048251943,New available data gathering and analysis methods,case_study,0.8860387000263676,"Big names - Google, Apple, Sysco","sam ladner, erika hall",0.8463601658931884,Focus on mid level researchers - often overlooked,"field, survery",0.8375966173711078,"No, I was not taught how to conduct researchn/aBased on client participationOvernight coding camp - felt like a sleepover with coffee and lots of sugarQRCA, AMA, CMCMid-size conference : 300-500 attendeesSingle-track: All attendees experience the same content at the same timeNoNew available data gathering and analysis methodsBig names - Google, Apple, SyscoFocus on mid level researchers - often overlooked",2,0.1,0.1625
21,Biopharma,misc,0.125,"Interviews, contextual inquiry, usability reviews, A/B testing, comparative analysis, surveys, diary studies, task analysis, moments-based research.",validation,0.823329719467737,We are always open to other techniques depending on what we are trying to learn and why.,"moderate, unmoderate",0.42498186487031775,"My BA is in Speech Communications, but there was a requirement to take a Research Methods class. It was very basic. Most of what I have learned is self-taught and a lot of experience - I am always learning.","experimental, psychology",0.9557421786978194,"My company will only pay for one conference a year - if at all. So I like to go to conferences that will be focused on learning for people who do the work currently - and I also really enjoy hearing from those who have completely different experiences, industries etc. so I can make creative connections to the work that I do that I wouldn't have considered otherwise.",pay,0.6277362400649582,Besides UX week in 2016 I attended and presented at the Pistoia Alliance UX conference in 2017 and have gone to a few UXPA-LA events.,"webinar, brighton",0.9384692060318289,"I would like to see how people perform research in challenging environments (could be Agile or government, or subjects with special considerations, etc.). And I would want to hear about creative approaches to solving research problems whether it's planning, conducting, analyzing, or reporting out.",ops/ai,0.9692121079643917,"I love to hear from people I never knew about but are rock stars in their field. Examples of people who really inspired me in the past included people in completely different fields such as civic tech, sex tech!, filmmaking, AI, etc. People who are doing great work with little recognition.","industry, team, product",0.9752681868558377,"Be diverse in every aspect - and inclusive. No ""manels""! Be creative and provide options for introverts and extroverts alike. Provide quiet spaces. Make sure the food is good and don't forget the FUN :)","speaker, industry",0.9519975174708027,"Yes, I was taught how to conduct researchMy BA is in Speech Communications, but there was a requirement to take a Research Methods class. It was very basic. Most of what I have learned is self-taught and a lot of experience - I am always learning.My company will only pay for one conference a year - if at all. So I like to go to conferences that will be focused on learning for people who do the work currently - and I also really enjoy hearing from those who have completely different experiences, industries etc. so I can make creative connections to the work that I do that I wouldn't have considered otherwise.UX Week is my favorite (I'm very sad that it is gone). It had a perfect mix of practical workshops and fascinating keynotes that always surprised and energized me. I would come back with so many ideas! Also the attendees were ""my people"" so I always made friends and connections there that I still enjoy today. It was so well run as well.Besides UX week in 2016 I attended and presented at the Pistoia Alliance UX conference in 2017 and have gone to a few UXPA-LA events.Mid-size conference : 300-500 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsn/aI would like to see how people perform research in challenging environments (could be Agile or government, or subjects with special considerations, etc.). And I would want to hear about creative approaches to solving research problems whether it's planning, conducting, analyzing, or reporting out.I love to hear from people I never knew about but are rock stars in their field. Examples of people who really inspired me in the past included people in completely different fields such as civic tech, sex tech!, filmmaking, AI, etc. People who are doing great work with little recognition.Be diverse in every aspect - and inclusive. No ""manels""! Be creative and provide options for introverts and extroverts alike. Provide quiet spaces. Make sure the food is good and don't forget the FUN :)",2,0.2904802123552124,0.6123283998283998
22,Financial Institution- Banking,fintech,0.3750021832715899,"Qualitative and quantitative research via interviews, workshops, brainstorming, market research",qual/quant,0.7297177262811427,"True user research usability studies, ethnographic research,  customer interviews (we don’t do any now!) ","evaluative, quantitative, qualitative",0.7738312343642424,,"masters, bachelors",0.16666666666666669,"Budget, relevant to my interests in UX",pay,0.7905453076005445,Sadly none,ia summit,0.571427858228873,How to stand up and get buy-in for an enterprise user research program.,ops/ai,0.6953905436402542,"Steven Gates from Invision, and other user research leaders who aren’t afraid to talk about the tough topics.","experience, jared spool",0.5501371441725771,"Do your research...

Just kidding. I would definitely recommend having multiple learning paths with hands on immersive workshops. ","good, know",0.9087160224550497,"Yes, I was taught how to conduct researchn/aBudget, relevant to my interests in UXAfterburner Training - intensive, hands on, was able to quickly better understand my team mates. Overall incredibletraonongSadly noneRetreat/workshop: < 50 attendeesMulti-track: Every attendee chooses their own path with multiple options available for most time-slotsNope - immersive workshops are my #1 pick!How to stand up and get buy-in for an enterprise user research program.Steven Gates from Invision, and other user research leaders who aren’t afraid to talk about the tough topics.Do your research...

Just kidding. I would definitely recommend having multiple learning paths with hands on immersive workshops. ",2,0.13739316239316238,0.5025641025641026
