00	01a	01b	01c	02a	02b	02c	02d	02e	02f	02g	02h	02i	02j	03	04	08a	08b	08c	08d	08e	08f	08g	08h	08i	08j	11a	11b	11c	11d	11e	12a	12b	12c	12d	12e	12f	12g	12h	13a	13b	13c	13d	13e	13g	13h	13i	13j	13f	19a	19b	19c	19d	19e	19f	19g	19h	20	05	06	07	10	14	15	16	17a	17b	18a	21	22	23	09a
276	Academic	4	1	Often	Often	Never	Often	Occasionally	Often	Often	Often	Never	Often	"501-1,000 employees"	50+ employees	10+ years	10+ years	0-1 year	10+ years	10+ years	10+ years	7-10 years	10+ years	0-1 year	7-10 years	Often	Often	Often	Often	Often	Neutral	Neutral	Likely	Neutral	Likely	Extremely likely	Extremely likely	Extremely likely	Very Important	Neutral	Very Important	Very Important	Important	Neutral	Neutral	Very Important	Very Important	Neutral	Very Important	Neutral	Important	Very Important	Very Important	Somewhat Important	Neutral	Important	madness session presenting each topic in 3-5 minutes	education	"quantitative data 
qualitative data"	"medical (blood, vital signs)"	participated in running studies		"mHealth Institute by NIH (attended in 2011)
isoqol courses : intro to PROMs and then phrama view on PROMs (attended in 2016 and 2018)
"	ISOQOL	Retreat/workshop: < 50 attendees	1	Single-track: All attendees experience the same content at the same time	related to my research		"bring key opinion leader and young minds together for few days 
"	"No, I was not taught how to conduct research"
275	Academic	4	1	Often	Often	Never	Occasionally	Often	Often	Occasionally	Often	Never	Occasionally	"1,000+ employees"	50+ employees	7-10 years	7-10 years	1-3 years	3-5 years	10+ years	5-7 years	1-3 years	5-7 years	0-1 year	1-3 years	Sometimes	Often	Rarely	Rarely	Sometimes	Likely	Likely	Extremely likely	Neutral	Neutral	Unlikely	Extremely likely	Neutral	Neutral	Somewhat Important	Very Important	Neutral	Not at all Important	Not at all Important	Not at all Important	Important	Neutral	Not at all Important	Neutral	Very Important	Not at all Important	Important	Somewhat Important	Not at all Important	Not at all Important	Neutral		Government - public services	"Focus groups, user interviews, surveys"	"All of the above, plus more behavioral analytics gathering"		"Topics, whether the person is a known expert"	"Product mgmt training with SVPG. It was an in-depth workshop where we actually worked on a project, so it was directly relevant. "	Canux	Retreat/workshop: < 50 attendees	1	Single-track: All attendees experience the same content at the same time	"Managing problem space vs solution evaluation research separate / ""evidence rot"""		Have some really inspirational talks as well as informational. And have books to sell! (Of course!)	"Yes, I was taught how to conduct research"
292	Academic	4	1	All or almost all	All or almost all	Often	All or almost all	All or almost all	All or almost all	All or almost all	All or almost all	Often	All or almost all	"1,000+ employees"	6-10 employees	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	Often	Often	Sometimes	Sometimes	Often	Extremely likely	Extremely likely	Extremely likely	Neutral	Likely	Neutral	Extremely likely	Extremely likely	Very Important	Important	Important	Important	Very Important	Very Important	Important	Neutral	Neutral	Neutral	Very Important	Very Important	Neutral	Very Important	Very Important	Important	Neutral	Very Important	good by me	Education	Mixed methods	Anything we can get our hands on!	"PhD - lots of classes, projects, grants, etc."	"What is of interest at the moment. Currently on soft skill development (I call them 'power tools'), innovation management, innovation metrics."	Getting PhD in mid-life - second career. Amazing profs. Conference on spirituality in management - fascinating people and lots of research projects came from it.	Academy of Management stuff (boring)	Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	I work with 'prac-ademics' - many without PhDs and no research background. How to teach them good research methods/practices? Lots of qualitative - ethnography.	Four of you a good start. Ann Jordan?  Sam Ladner? Mats Alvesson? Heather Horst? Bent Flyvbjerg?	DO IT.	"Yes, I was taught how to conduct research"
287	Academic	4	1	Often	Often	Never	Often	Neutral	Often	Often	Often	Occasionally	Occasionally	1-25 employees	1-5 employees	5-7 years	5-7 years	0-1 year	5-7 years	5-7 years	5-7 years	3-5 years	3-5 years	0-1 year	1-3 years	Often	Often	Often	Often	Sometimes	Extremely likely	Extremely likely	Extremely likely	Neutral	Likely	Extremely likely	Likely	Extremely likely	Neutral	Very Important	Very Important	Very Important	Important	Important	Very Important	Important	Neutral	Very Important	Neutral	Neutral	Very Important	Very Important	Neutral	Somewhat Important	Very Important	Very Important		Education					UI21. The lunches and dinners in small groups made it easy to connect and network. I am still in contact with someone of those people five years later.		Small conference: < 300 attendees	2	Single-track: All attendees experience the same content at the same time				I was taught some aspects of scientific research but not ux research in particular
286	Academic	4	1	Neutral	Neutral	Never	Neutral	Never	Neutral	Never	Neutral	Never	Neutral	101-500 employees	50+ employees	5-7 years	5-7 years	0-1 year	5-7 years	0-1 year	5-7 years	1-3 years	5-7 years	0-1 year	1-3 years	Often	Often	Rarely	Rarely	Sometimes	Extremely likely	Likely	Extremely likely	Extremely likely	Extremely likely	Likely	Likely	Likely	Neutral	Very Important	Important	Neutral	Important	Very Important	Important	Very Important	Very Important	Neutral	Important	Important	Neutral	Important	Important	Important	Important	Important	"A session to relax or bond. I would not say exactly yoga or meditation, but something quiet."	Education	Survey	Survey and probably semantic analysis and psychophysiologic measurements.	I have a Master Degree and a PhD degree.	"Where some colleagues I know are attending or recommend to attend; and whether the location is not North America/Europe/Australia, because most conferences are there and it is about time that we diversify the venues."	"The ISNA Conference in Beijing, which was big and had a great diversity of topics and speakers. Many of the founders of social network analysis were there. "	Conferences	Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	Research ethics not as theory but as practice. Also ecological sustainability.	"Anyone that is cooperating for open access journals, multidisciplinary research, women, minorities, indigenous people, etc."	"Dont do it in North America, Europe or Australia."	"Yes, I was taught how to conduct research"
283	Academic	4	1	Often	Often	Occasionally	Often	Often	Often	Often	All or almost all	Never	All or almost all	"501-1,000 employees"	50+ employees	10+ years	10+ years	0-1 year	10+ years	10+ years	10+ years	10+ years	5-7 years	0-1 year	10+ years	Sometimes	Sometimes	Sometimes	Sometimes	Often	Likely	Neutral	Extremely likely	Likely	Extremely likely	Neutral	Neutral	Likely	Important	Important	Very Important	Important	Very Important	Very Important	Neutral	Important	Very Important	Important	Neutral	Neutral	Important	Important	Important	Important	Neutral	Neutral	nope	Education	VR	AR & Medical		Service	A Course SIGCHI many years ago. Still use the materials		Small conference: < 300 attendees	2	Single-track: All attendees experience the same content at the same time	VR/AR Applications			"Yes, I was taught how to conduct research"
282	Academic	4	1	Never	Never	Never	Often	Often	Occasionally	Occasionally	Often	Never	All or almost all	"1,000+ employees"	50+ employees	10+ years	10+ years	0-1 year	7-10 years	10+ years	10+ years	10+ years	10+ years	0-1 year	7-10 years	Rarely	Often	Sometimes	Rarely	Sometimes	Likely	Neutral	Extremely likely	Unlikely	Extremely likely	Likely	Extremely likely	Likely	Somewhat Important	Neutral	Very Important	Somewhat Important	Important	Somewhat Important	Somewhat Important	Very Important	Very Important	Neutral	Very Important	Not at all Important	Important	Neutral	Important	Important	Neutral	Important	"Studios: hands-on activities organised and facilitated by an expert, e.g. in teaching you how to use a certain data analysis tool or recording devices or survery builders (anything really)"	Tertiary education	"What do you mean by types?
Qualitative?
Working with other organisations?
Working with different stakeholders?"	Same as what we do	"My first Master degree in Biology was very research-oriented, I even did an elective on 'how to write a scientific paper', we had to do a little experiment and report on it. I loved it! I also did scientific experiments as part of my internships and subjects. We had to read many scientific publications for the different subjects."	"I'm on the steering committee of the conference series that is closest to my research area, I try to attend that one every year, there's a couple of conferences I'm interested in, but usually can't attend, because I often go to the ones I get invited to speak at (as keynote).
Living in Australia, conferences are very far away and ideally you combine it with other travel to keep costs down and to have to go through jetlag only twice. That means that each travel is about 2 or 3 weeks, and you need someone who can cover your teaching, unless it's over the Australian summer (Dec-Feb), which not many events are."	"SARMAC conference in 2003 (I think), it was a conference outside my direct field, and I learned so much, because every talk started with an introduction to a fascination new topic (to me). I attended everything I could :) Later I took my PhD students to the same conference, hoping they would have the same experience."	"None, never."	Small conference: < 300 attendees	2	Single-track: All attendees experience the same content at the same time	"How to sell qualitative research to a quantitative audience ;-)
The latest on participant populations, e.g. we no longer ask for gender, age seems less relevant as well, how to describe your participant group, are there new standards emerging?
How to make sure academic research gets outside of academia?"	"Researchers from all walks of life, not just academics.
And research clients in the real world, not just funding bodies and promotion committees."	"Good luck :)

No seriously, think about who your target group is, and how to advertise. If it was too generic, I would not feel it's urgent/interesting enough to give up another conference for it (because that's probably what it would boil down to).

Maybe co-locate with existing large conferences? In my area that would be CHI (Computer-Human Interaction), you could add a day on. That would increase my chances of going, because I would not get funding to travel to a conference if I can't present a paper there, and if it isn't high impact.

You could consider going digital? But I've never attended such an event, don't know whether it would be as compelling."	"Yes, I was taught how to conduct research"
278	Academic	4	1	All or almost all	Often	Never	All or almost all	Neutral	Neutral	Never	Occasionally	Never	Neutral	"1,000+ employees"	50+ employees	3-5 years	3-5 years	0-1 year	1-3 years	3-5 years	3-5 years	0-1 year	0-1 year	0-1 year	1-3 years	Rarely	Often	Rarely	Sometimes	Sometimes	Likely	Extremely likely	Extremely likely	Unlikely	Extremely likely	Neutral	Neutral	Neutral	Important	Important	Very Important	Neutral	Somewhat Important	Somewhat Important	Somewhat Important	Important	Very Important	Somewhat Important	Neutral	Neutral	Very Important	Very Important	Neutral	Neutral	Somewhat Important	Somewhat Important		it's a university? academic...	mostly online and lab experiments and randomized controlled trials			renomination			Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots				I taught myself during my PhD
277	Academic	4	1	Often	Occasionally	Never	Often	Often	Occasionally	Occasionally	Never	Never	Often	1-25 employees	6-10 employees	1-3 years	1-3 years	0-1 year	1-3 years	3-5 years	3-5 years	1-3 years	0-1 year	0-1 year	1-3 years	Rarely	Sometimes	Sometimes	Sometimes	Sometimes	Neutral	Extremely likely	Extremely likely	Likely	Extremely likely	Extremely likely	Likely	Extremely likely	Somewhat Important	Somewhat Important	Very Important	Important	Very Important	Important	Important	Important	Very Important	Important	Important	Important	Important	Very Important	Important	Neutral	Neutral	Important	"No, but I'm still fairly inexperienced in them"	Academic	"Quantitative, surveys, questionnaire and behavioral measures, functional MRI"	Additional behavioral measures	"I both participated in running studies, and was also taught through my academic studies in neuroscience"	"At my current situation, I can only attend if I can volunteer or if it is very inexpensive"	It was a Meetup group that went through the steps for creating a road map for the year. It was great because the activities involved forced you to interact and get to know your activity partner in a deeper way.	"The Meetup for desiging a roadmap for the year, and also a mentorship program which includes occasional social happy hours"	Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"Verifying that qualitative data is backed up by quantitative, how can we make the most out of research without sacrificing too much time"	"Ideo, industry professionals, neilsen"	"Provide opportunities for emerging ux researchers either as volunteers, or some advice talk or networking event. Definitely not the as the focus of the conference, but something small on the side would be very helpful to newcomers."	"No, I was not taught how to conduct research"
859	Academic	4	1	Often	Occasionally	Never	Neutral	Neutral	Often	Often	Occasionally	Never	Often	"1,000+ employees"	50+ employees	10+ years	0-1 year	0-1 year	7-10 years	7-10 years	10+ years	1-3 years	7-10 years	0-1 year	7-10 years	Rarely	Often	Rarely	Sometimes	Often	Likely	Likely	Likely	Unlikely	Neutral	Unlikely	Neutral	Neutral	Very Important	Important	Very Important	Neutral	Very Important	Important	Neutral	Important	Important	Neutral	Very Important	Important	Neutral	Important	Very Important	Important	Important	Neutral		education							Small conference: < 300 attendees	2	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots				"Yes, I was taught how to conduct research"
293	Academic	4	1	Often	Often	Occasionally	Often	Neutral	Often	Often	Often	Occasionally	Often	"1,000+ employees"	50+ employees	7-10 years	7-10 years	5-7 years	5-7 years	7-10 years	7-10 years	7-10 years	7-10 years	5-7 years	5-7 years																																	University	"Design research / UX research
Interviews, surveys, FGs, analytics, desk research, use testing, A/B testing, design workshops, eye tracking, VR ..."	Online FG	"Sociology BA
Information science MA
LIS PhD.

Conferences, online courses..."					5					"Yes, I was taught how to conduct research"
289	Academic	4	1	Often	Often	Occasionally	Often	Neutral	Neutral	Often	Neutral	Never	Neutral	"1,000+ employees"	50+ employees																																											Education								5					"Yes, I was taught how to conduct research"
285	Academic	4	1	Occasionally	Occasionally	Often	Occasionally	Neutral	Often	All or almost all	Often	Never	Never	"1,000+ employees"	50+ employees	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	10+ years	Often	Often	Often	Often	Often	Extremely likely	Extremely likely	Extremely likely	Extremely likely	Extremely likely	Neutral	Unlikely	Unlikely																				Education	primary and secondary	all the things						5					"Yes, I was taught how to conduct research"
834	Analyst	3	2	Occasionally	Often	Occasionally	Occasionally	Often	Occasionally	Occasionally	Often	Never	Neutral	1-25 employees	1-5 employees	3-5 years	5-7 years	0-1 year	1-3 years	3-5 years	3-5 years	1-3 years	3-5 years	1-3 years	1-3 years	Sometimes	Often	Sometimes	Rarely	Rarely	Likely	Neutral	Likely	Unlikely	Likely	Neutral	Unlikely	Extremely unlikely	Somewhat Important	Important	Important	Neutral	Neutral	Important	Not at all Important	Somewhat Important	Important	Important	Neutral	Somewhat Important	Important	Somewhat Important	Very Important	Very Important	Somewhat Important	Not at all Important	No	Food and beverage	"Mix of qualitative and quantitative, lots of online "	More research focused on social media		Based on client participation	Overnight coding camp - felt like a sleepover with coffee and lots of sugar	"QRCA, AMA, CMC"	Mid-size conference : 300-500 attendees	3	Single-track: All attendees experience the same content at the same time	New available data gathering and analysis methods	"Big names - Google, Apple, Sysco"	Focus on mid level researchers - often overlooked	"No, I was not taught how to conduct research"
832	Analyst	3	2	Often	Often	Never	Often	Often	Often	Often	All or almost all	Occasionally	Occasionally	"1,000+ employees"	6-10 employees	7-10 years	10+ years	1-3 years	7-10 years	7-10 years	10+ years	5-7 years	10+ years	3-5 years	3-5 years	Sometimes	Often	Sometimes	Sometimes	Sometimes	Extremely likely	Extremely likely	Extremely likely	Likely	Likely	Likely	Neutral	Neutral	Not at all Important	Very Important	Very Important	Neutral	Neutral	Very Important	Very Important	Important	Very Important	Neutral	Very Important	Very Important	Neutral	Important	Neutral	Important	Neutral	Somewhat Important		Biopharma	"Interviews, contextual inquiry, usability reviews, A/B testing, comparative analysis, surveys, diary studies, task analysis, moments-based research."	We are always open to other techniques depending on what we are trying to learn and why.	"My BA is in Speech Communications, but there was a requirement to take a Research Methods class. It was very basic. Most of what I have learned is self-taught and a lot of experience - I am always learning."	"My company will only pay for one conference a year - if at all. So I like to go to conferences that will be focused on learning for people who do the work currently - and I also really enjoy hearing from those who have completely different experiences, industries etc. so I can make creative connections to the work that I do that I wouldn't have considered otherwise."	"UX Week is my favorite (I'm very sad that it is gone). It had a perfect mix of practical workshops and fascinating keynotes that always surprised and energized me. I would come back with so many ideas! Also the attendees were ""my people"" so I always made friends and connections there that I still enjoy today. It was so well run as well."	Besides UX week in 2016 I attended and presented at the Pistoia Alliance UX conference in 2017 and have gone to a few UXPA-LA events.	Mid-size conference : 300-500 attendees	3	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	"I would like to see how people perform research in challenging environments (could be Agile or government, or subjects with special considerations, etc.). And I would want to hear about creative approaches to solving research problems whether it's planning, conducting, analyzing, or reporting out."	"I love to hear from people I never knew about but are rock stars in their field. Examples of people who really inspired me in the past included people in completely different fields such as civic tech, sex tech!, filmmaking, AI, etc. People who are doing great work with little recognition."	"Be diverse in every aspect - and inclusive. No ""manels""! Be creative and provide options for introverts and extroverts alike. Provide quiet spaces. Make sure the food is good and don't forget the FUN :)"	"Yes, I was taught how to conduct research"
833	Analyst	3	2	Often	Often	Occasionally	Occasionally	Never	Occasionally	Never	Often	Occasionally	Never	"501-1,000 employees"	1-5 employees	7-10 years	7-10 years	0-1 year	1-3 years	1-3 years	3-5 years	1-3 years	5-7 years	0-1 year	0-1 year	Often	Often	Rarely	Sometimes	Never	Extremely likely	Extremely likely	Extremely likely	Extremely likely	Extremely likely	Likely	Likely	Likely	Somewhat Important	Important	Important	Important	Very Important	Very Important	Very Important	Somewhat Important	Very Important	Important	Important	Important	Neutral	Very Important	Important	Neutral	Very Important	Very Important	Nope - immersive workshops are my #1 pick!	Financial Institution- Banking	"Qualitative and quantitative research via interviews, workshops, brainstorming, market research"	"True user research usability studies, ethnographic research,  customer interviews (we don’t do any now!) "		"Budget, relevant to my interests in UX"	"Afterburner Training - intensive, hands on, was able to quickly better understand my team mates. Overall incredibletraonong"	Sadly none	Retreat/workshop: < 50 attendees	1	Multi-track: Every attendee chooses their own path with multiple options available for most time-slots	How to stand up and get buy-in for an enterprise user research program.	"Steven Gates from Invision, and other user research leaders who aren’t afraid to talk about the tough topics."	"Do your research...

Just kidding. I would definitely recommend having multiple learning paths with hands on immersive workshops. "	"Yes, I was taught how to conduct research"
